loss,lr
0.4171944260597229,1e-07
0.41265495199906205,1.202264434617413e-07
0.4138145204839672,1.4454397707459274e-07
0.4164308923800069,1.7378008287493754e-07
0.4185968965771568,2.0892961308540395e-07
0.42131673255702545,2.51188643150958e-07
0.42432919616698817,3.019951720402016e-07
0.4269959440861283,3.6307805477010137e-07
0.4296535557298168,4.36515832240166e-07
0.43136837017312957,5.248074602497725e-07
0.4329336736233308,6.309573444801933e-07
0.4344378120971674,7.585775750291837e-07
0.4358092336206326,9.120108393559096e-07
0.43683838227617017,1.096478196143185e-06
0.43743089134051044,1.3182567385564074e-06
0.4376285115597259,1.5848931924611132e-06
0.4377360740874773,1.9054607179632473e-06
0.43785589510623524,2.2908676527677735e-06
0.4379096932227629,2.754228703338166e-06
0.4378562512370047,3.311311214825911e-06
0.43749282712941295,3.981071705534973e-06
0.43699997794291817,4.7863009232263826e-06
0.43662152449997504,5.754399373371569e-06
0.43627192752756505,6.918309709189365e-06
0.43585779562382687,8.317637711026708e-06
0.43551913752173504,9.999999999999999e-06
0.43507307174692433,1.202264434617413e-05
0.4343763039260643,1.4454397707459279e-05
0.4336481737764823,1.737800828749376e-05
0.4326303754832254,2.0892961308540385e-05
0.43161176035130605,2.5118864315095795e-05
0.4304860603218023,3.019951720402016e-05
0.42906978809899676,3.630780547701014e-05
0.4275521363561454,4.365158322401661e-05
0.42597883433131595,5.248074602497728e-05
0.42426938799792036,6.309573444801929e-05
0.42244970508107854,7.585775750291836e-05
0.42042656058385497,9.120108393559096e-05
0.41827631460243153,0.00010964781961431851
0.41612484721329446,0.00013182567385564074
0.41395699806565395,0.0001584893192461114
0.41187460682578075,0.00019054607179632462
0.4098708710712481,0.00022908676527677726
0.4075543777108147,0.0002754228703338166
0.4051928606510525,0.0003311311214825911
0.40312403345460657,0.0003981071705534973
0.40115341259111026,0.0004786300923226385
0.39926211022949065,0.0005754399373371565
0.3973973209272874,0.0006918309709189362
0.3958099734982244,0.0008317637711026709
0.39434202872031404,0.001
0.3930871825282078,0.001202264434617413
0.3921582614152897,0.001445439770745928
0.3914824385937307,0.001737800828749376
0.3910044900463859,0.0020892961308540407
0.3905169878205047,0.002511886431509582
0.3902008053377343,0.0030199517204020187
0.39000317269754636,0.00363078054770101
0.3905235531447706,0.004365158322401656
0.3912559082166013,0.005248074602497722
0.3924986341681206,0.006309573444801929
0.3939443250416947,0.007585775750291836
0.39540807908730535,0.009120108393559097
0.3968624349829313,0.01096478196143185
0.39825378264050093,0.013182567385564075
0.39990153381602933,0.01584893192461114
0.4022220690690378,0.019054607179632484
0.4055335167471305,0.022908676527677745
0.4091231759393292,0.027542287033381692
0.41256055764028965,0.03311311214825908
0.41601258751643116,0.03981071705534969
0.4200346966667049,0.0478630092322638
0.4241558183457932,0.05754399373371566
0.4287275573917444,0.06918309709189363
0.43337238932752614,0.08317637711026708
0.4381354525852699,0.09999999999999999
0.443231513239091,0.12022644346174131
0.4503607877070051,0.1445439770745928
0.4573706055024366,0.17378008287493762
0.46611713504699254,0.2089296130854041
0.47618269772606014,0.25118864315095824
0.48765585667761224,0.3019951720402019
0.501111038341934,0.36307805477010097
0.5174419278386605,0.43651583224016566
0.5367661605285154,0.5248074602497723
0.558790101786792,0.630957344480193
0.5836327711072375,0.7585775750291835
0.6111172273660596,0.9120108393559095
0.640108819116907,1.096478196143185
0.670628233837831,1.3182567385564072
0.7025301072662624,1.584893192461114
0.7355273830765234,1.9054607179632481
0.7697287718676045,2.290867652767775
0.8044098711780923,2.754228703338169
0.8397929220056225,3.3113112148259076
0.8752198687278557,3.981071705534969
0.9110580214219451,4.7863009232263805
0.9468921307852581,5.754399373371567
0.9826491910791322,6.918309709189362
1.0180285050760276,8.317637711026709
1.053191638832817,10.0
